Time,Department store retailing
Apr-1982,460.1
May-1982,502.6
Jun-1982,443.8
Jul-1982,459.1
Aug-1982,438.4
Sep-1982,465.1
Oct-1982,452.7
Nov-1982,522.9
Dec-1982,889.3
Jan-1983,379.2
Feb-1983,378.0
Mar-1983,472.1
Apr-1983,503.4
May-1983,510.6
Jun-1983,462.4
Jul-1983,468.3
Aug-1983,458.2
Sep-1983,482.7
Oct-1983,485.3
Nov-1983,568.7
Dec-1983,963.7
Jan-1984,414.7
Feb-1984,414.5
Mar-1984,484.7
Apr-1984,487.3
May-1984,597.9
Jun-1984,500.4
Jul-1984,543.4
Aug-1984,503.4
Sep-1984,522.8
Oct-1984,556.6
Nov-1984,623.2
Dec-1984,1039.4
Jan-1985,516.3
Feb-1985,452.5
Mar-1985,525.8
Apr-1985,587.7
May-1985,700.3
Jun-1985,561.8
Jul-1985,602.8
Aug-1985,582.5
Sep-1985,563.1
Oct-1985,637.1
Nov-1985,697.1
Dec-1985,1187.5
Jan-1986,570.5
Feb-1986,478.2
Mar-1986,547.4
Apr-1986,594.3
May-1986,751.6
Jun-1986,553.4
Jul-1986,663.2
Aug-1986,581.1
Sep-1986,661.9
Oct-1986,665.6
Nov-1986,700.9
Dec-1986,1367.9
Jan-1987,613.9
Feb-1987,513.2
Mar-1987,599.9
Apr-1987,674.1
May-1987,714.0
Jun-1987,670.5
Jul-1987,720.9
Aug-1987,601.6
Sep-1987,672.3
Oct-1987,709.1
Nov-1987,743.2
Dec-1987,1460.1
Jan-1988,631.0
Feb-1988,551.1
Mar-1988,678.1
Apr-1988,715.7
May-1988,740.8
Jun-1988,722.0
Jul-1988,683.5
Aug-1988,650.9
Sep-1988,723.3
Oct-1988,729.6
Nov-1988,870.3
Dec-1988,1570.0
Jan-1989,631.5
Feb-1989,552.0
Mar-1989,719.0
Apr-1989,697.6
May-1989,764.8
Jun-1989,786.3
Jul-1989,715.1
Aug-1989,723.8
Sep-1989,757.9
Oct-1989,751.7
Nov-1989,923.8
Dec-1989,1569.4
Jan-1990,678.2
Feb-1990,586.2
Mar-1990,726.8
Apr-1990,744.1
May-1990,815.5
Jun-1990,832.4
Jul-1990,710.3
Aug-1990,759.4
Sep-1990,741.1
Oct-1990,786.6
Nov-1990,931.5
Dec-1990,1563.1
Jan-1991,694.0
Feb-1991,604.7
Mar-1991,719.2
Apr-1991,748.2
May-1991,828.2
Jun-1991,746.9
Jul-1991,794.5
Aug-1991,770.4
Sep-1991,741.5
Oct-1991,858.6
Nov-1991,944.7
Dec-1991,1600.3
Jan-1992,740.0
Feb-1992,665.9
Mar-1992,701.5
Apr-1992,831.4
May-1992,878.6
Jun-1992,826.0
Jul-1992,788.2
Aug-1992,723.6
Sep-1992,819.8
Oct-1992,902.5
Nov-1992,968.6
Dec-1992,1650.9
Jan-1993,762.1
Feb-1993,643.0
Mar-1993,754.1
Apr-1993,840.7
May-1993,906.6
Jun-1993,887.1
Jul-1993,771.5
Aug-1993,728.7
Sep-1993,844.7
Oct-1993,886.9
Nov-1993,970.0
Dec-1993,1710.5
Jan-1994,745.7
Feb-1994,664.4
Mar-1994,821.5
Apr-1994,831.7
May-1994,908.0
Jun-1994,912.6
Jul-1994,782.9
Aug-1994,798.8
Sep-1994,887.0
Oct-1994,934.6
Nov-1994,1000.4
Dec-1994,1817.5
Jan-1995,752.4
Feb-1995,682.5
Mar-1995,811.2
Apr-1995,906.0
May-1995,927.2
Jun-1995,906.8
Jul-1995,880.6
Aug-1995,873.9
Sep-1995,856.8
Oct-1995,920.6
Nov-1995,1067.4
Dec-1995,1857.2
Jan-1996,833.1
Feb-1996,737.1
Mar-1996,812.0
Apr-1996,895.2
May-1996,962.8
Jun-1996,908.6
Jul-1996,908.0
Aug-1996,888.9
Sep-1996,833.7
Oct-1996,933.7
Nov-1996,1081.6
